Product_id,Selling_Price
SCHE4YSTDVPVZVXW,361671126379258.8
ACCEGCATKHNRXUHW,105326902898411.34
NKCE6GJ5XVJDXNNZ,7.687972353821752e+16
NKCEB8BK3ZXDHDHM,4.807295963760868e+16
TOPEFDXSAHRNPF94,3141551639215065.5
ACCE558KZHEPZYMG,6.4849923713388776e+16
ACCEAZCVAMFHDPY7,1.0347573233916652e+16
NKCDYNY37JPBGBVM,1619211698958427.2
NKCEY8KWY33FCUYD,6408233534728427.0
RNGE4YPTQYRECV9J,1.141321590672203e+16
NKCE88AHBHJZREXH,1081006991721394.9
CLTEJ5ZZGBP4JGGE,3.633275518598423e+16
WATE3NWH5FZWAMDA,9.703313774215166e+16
CAGE53FSFZVFPFHQ,39051015065623.34
PCSEAKVBFFPGCHNZ,2537393355277056.5
WATDFFH3KJYBTYGG,4.813578600896791e+16
NKCDWHFQSCHHYZMP,589358956848260.1
RNGEB2PG3Q5RKDW6,998223819906793.1
NKCE5UY9HHPZGGUZ,1261491661637867.2
KTAEHETW3ZCMFMJR,1187959198039787.2
BRAEBBYRVF9MHJHU,6.2829680592234216e+16
NKCEAX7HAQ2RJA3Q,2.0006487920675484e+16
CRTECN2RQZWBSP9W,1349023126339725.2
WATDEWZ9UHSEHGZG,1.7517806394266284e+16
PTPEYW8HNV6G9YYR,404701970473241.8
ACCEAMGZRRYVAHDC,1.0002660111493356e+16
SRTEHHXG8MUXTGPA,2451074290933995.5
SKIE4S4NN4MHYM3Z,8859411181192247.0
HMBE7G34YHWPWKYN,6213503585253611.0
LLIEGTMFJBD7ZZZM,4.461090774918679e+16
ACCEJGH6JVTM4CBH,1.0605361569708268e+16
ACCDQDYBXJ9HZF37,1.5588305368153324e+16
RNGE88FRGZCXNKUG,7095962058900715.0
NKCE7M3QNNPZDXHQ,6.855713111968389e+16
VLBEGFFDP9H6WG2T,1124959783905515.4
TOPEAFG4YEQSH5TT,232196526984171.34
WATEYAP3K2QQQWDH,7347114318479595.0
PCSEBDFUFJWGARNX,3.6152623152216296e+16
SWTEGXQFZY95SKG7,1817619106223097.2
BRAEGJFXSM9ZQ6SK,5.649271437704164e+16
CAGE6FYKP34GA4GF,3.6288462059319496e+16
HMBEJCMH78VJF3M8,2305510715490983.5
HIFEB7J3GSTVN5XJ,1.0382146310976638e+17
PBXE6ZHNGZREWWHR,4190871726898411.5
PCSEAKVBNXFGZBKB,4128769228477675.5
BRAEBBMQQNZ9RZWR,2883866537024747.5
ACCEGKFCXHZZH44S,1859067249610987.2
SHODXQRRGKZ74U9M,1196982866104698.8
DREE2Y6DVEKVVQQS,1233072088084551.2
PBXE8ZHHG5Y525BT,3351091809471723.5
CTTEH9FXZHGFKUA3,6594558216342763.0
ACCDXFZXGQTBTM6N,2079693303351275.2
NKCE9PFF3TT4KSQJ,2.1042312292616244e+16
BRAE6NZAZK77HXZK,11433017720427.34
NKCE4TV42BHDP63U,438043222280939.3
AIREDGGD9RJPZGYW,2543541929663723.5
PCSEDAPMHR2HNHWP,3.2866285202985196e+16
PACE95FMAFXHZB5C,1829926895034840.2
WATDG4KP445AV5XC,1.3902465914070245e+17
ACCE9EYRRNZYZUBG,2267400978225387.5
ACCE8XZMAHNC8JVS,1525800108109163.2
SHOED5DCSTQKZCGF,4434216800480491.5
NKCE64Z4NGBHNAY7,915028392804874.6
PBXE8WQTZ5GA2YYQ,5016826689097.723
MUGEGZUMGYAPVSZH,4102957917176008.0
PBXE4RB3Y3GXWPFV,8228227778081003.0
PCSE2ZFDJJGFNHC7,4258383883493099.5
CRTECN2QT5HKHZ8F,2140840814748376.2
MUGEACY8Q7ZYSTN8,143066561200138.16
ACCEGG9VGRMQGHRD,2.599423313087704e+16
PCSE76X48PVSDDVK,37550096569195.34
PBXE6677X2D6UFZZ,3149912569693453.5
